seller_type,area_m2,room_layout,city,district,neighborhood,listing_date_raw,price_try,rooms,living_rooms,total_rooms,listing_date,listing_month,listing_day,price_per_m2,is_model_candidate_domain,is_model_candidate_pct
Emlak-ofisinden,165.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,3650000,3.0,1.0,4.0,2025-05-09,5,9,22121.21212121212,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,2550000,3.0,1.0,4.0,2025-05-09,5,9,17000.0,True,True
Emlak-ofisinden,90.0,2+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,1800000,2.0,1.0,3.0,2025-05-09,5,9,20000.0,True,True
Emlak-ofisinden,140.0,3+1,Usak,Merkez,Yenisanayi,10 Mayıs  2025,2700000,3.0,1.0,4.0,2025-05-10,5,10,19285.714285714286,True,True
Emlak-ofisinden,70.0,1+1,Usak,Merkez,Dokumacılar,10 Mayıs  2025,1750000,1.0,1.0,2.0,2025-05-10,5,10,25000.0,True,True
Emlak-ofisinden,140.0,3+1,Usak,Merkez,Bilinmiyor,10 Mayıs  2025,3345000,3.0,1.0,4.0,2025-05-10,5,10,23892.85714285714,True,True
Emlak-ofisinden,196.0,3+1,Usak,Merkez,Yenisanayi,08 Mayıs  2025,6000000,3.0,1.0,4.0,2025-05-08,5,8,30612.244897959183,True,True
Emlak-ofisinden,60.0,2+0,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,2050000,2.0,0.0,2.0,2025-05-09,5,9,34166.666666666664,True,True
Emlak-ofisinden,190.0,3+1,Usak,Merkez,Yenisanayi,10 Mayıs  2025,4750000,3.0,1.0,4.0,2025-05-10,5,10,25000.0,True,True
Emlak-ofisinden,105.0,2+1,Usak,Merkez,Dokumacılar,09 Mayıs  2025,2650000,2.0,1.0,3.0,2025-05-09,5,9,25238.095238095237,True,True
Emlak-ofisinden,135.0,2+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,2100000,2.0,1.0,3.0,2025-05-08,5,8,15555.555555555555,True,True
Emlak-ofisinden,145.0,3+1,Usak,Merkez,Bilinmiyor,13 Mayıs  2025,3350000,3.0,1.0,4.0,2025-05-13,5,13,23103.44827586207,True,True
Emlak-ofisinden,70.0,2+0,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,1580000,2.0,0.0,2.0,2025-05-08,5,8,22571.428571428572,True,True
Emlak-ofisinden,178.0,4+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,5200000,4.0,1.0,5.0,2025-05-08,5,8,29213.483146067414,True,True
Emlak-ofisinden,110.0,2+1,Usak,Merkez,Bilinmiyor,12 Mayıs  2025,2450000,2.0,1.0,3.0,2025-05-12,5,12,22272.727272727272,True,True
Emlak-ofisinden,160.0,3+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,2200000,3.0,1.0,4.0,2025-05-08,5,8,13750.0,True,True
Emlak-ofisinden,190.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,3850000,3.0,1.0,4.0,2025-05-09,5,9,20263.157894736843,True,True
Emlak-ofisinden,280.0,5+1,Usak,Merkez,Yenisanayi,08 Mayıs  2025,3500000,5.0,1.0,6.0,2025-05-08,5,8,12500.0,True,True
Emlak-ofisinden,180.0,3+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,3600000,3.0,1.0,4.0,2025-05-08,5,8,20000.0,True,True
Emlak-ofisinden,165.0,3+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,3525000,3.0,1.0,4.0,2025-05-08,5,8,21363.636363636364,True,True
Emlak-ofisinden,220.0,4+1,Usak,Merkez,Yenisanayi,09 Mayıs  2025,6500000,4.0,1.0,5.0,2025-05-09,5,9,29545.454545454544,True,True
Emlak-ofisinden,280.0,5+1,Usak,Merkez,Dokumacılar,07 Mayıs  2025,5500000,5.0,1.0,6.0,2025-05-07,5,7,19642.85714285714,True,True
Emlak-ofisinden,110.0,2+1,Usak,Merkez,Dokumacılar,11 Mayıs  2025,2650000,2.0,1.0,3.0,2025-05-11,5,11,24090.909090909092,True,True
Emlak-ofisinden,38.0,Stüdyo (1+0),Usak,Merkez,Aybey,08 Mayıs  2025,930000,1.0,0.0,1.0,2025-05-08,5,8,24473.684210526317,True,False
Emlak-ofisinden,50.0,1+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,1170000,1.0,1.0,2.0,2025-05-08,5,8,23400.0,True,True
Emlak-ofisinden,380.0,5+1,Usak,Merkez,Yenisanayi,10 Mayıs  2025,5500000,5.0,1.0,6.0,2025-05-10,5,10,14473.684210526315,True,False
Emlak-ofisinden,145.0,3+1,Usak,Merkez,Dokumacılar,08 Mayıs  2025,3200000,3.0,1.0,4.0,2025-05-08,5,8,22068.96551724138,True,True
Emlak-ofisinden,105.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,1725000,3.0,1.0,4.0,2025-05-09,5,9,16428.571428571428,True,True
Emlak-ofisinden,50.0,1+1,Usak,Merkez,Yenisanayi,11 Mayıs  2025,1580000,1.0,1.0,2.0,2025-05-11,5,11,31600.0,True,True
Emlak-ofisinden,80.0,2+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,1750000,2.0,1.0,3.0,2025-05-08,5,8,21875.0,True,True
Emlak-ofisinden,100.0,2+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,1400000,2.0,1.0,3.0,2025-05-08,5,8,14000.0,True,True
Emlak-ofisinden,110.0,2+1,Usak,Merkez,Yenisanayi,10 Mayıs  2025,1990000,2.0,1.0,3.0,2025-05-10,5,10,18090.909090909092,True,True
Emlak-ofisinden,100.0,2+1,Usak,Merkez,Bilinmiyor,07 Mayıs  2025,1870000,2.0,1.0,3.0,2025-05-07,5,7,18700.0,True,True
Emlak-ofisinden,159.0,3+1,Usak,Merkez,Dokumacılar,07 Mayıs  2025,4050000,3.0,1.0,4.0,2025-05-07,5,7,25471.69811320755,True,True
Emlak-ofisinden,135.0,3+1,Usak,Merkez,Dokumacılar,07 Mayıs  2025,3750000,3.0,1.0,4.0,2025-05-07,5,7,27777.777777777777,True,True
Emlak-ofisinden,125.0,3+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,3799000,3.0,1.0,4.0,2025-05-08,5,8,30392.0,True,True
Emlak-ofisinden,165.0,3+1,Usak,Merkez,Bilinmiyor,07 Mayıs  2025,3850000,3.0,1.0,4.0,2025-05-07,5,7,23333.333333333332,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Bilinmiyor,10 Mayıs  2025,2150000,3.0,1.0,4.0,2025-05-10,5,10,14333.333333333334,True,True
Sahibinden,140.0,3+1,Osmaniye,Bahçe,Bilinmiyor,24 Mayıs  2025,2250000,3.0,1.0,4.0,2025-05-24,5,24,16071.42857142857,True,True
Sahibinden,150.0,3+1,Osmaniye,Merkez,Gebeli/Aslanlar,24 Mayıs  2025,2250000,3.0,1.0,4.0,2025-05-24,5,24,15000.0,True,True
Sahibinden,145.0,4+1,Osmaniye,Merkez,Bilinmiyor,24 Mayıs  2025,3700000,4.0,1.0,5.0,2025-05-24,5,24,25517.241379310344,True,True
Sahibinden,125.0,3+1,Osmaniye,Merkez,Gebeli/Aslanlar,24 Mayıs  2025,2740000,3.0,1.0,4.0,2025-05-24,5,24,21920.0,True,True
Sahibinden,200.0,4+1,Osmaniye,Toprakkale,Bilinmiyor,24 Mayıs  2025,2950000,4.0,1.0,5.0,2025-05-24,5,24,14750.0,True,True
Sahibinden,180.0,4+1,Osmaniye,Kadirli,Dere,24 Mayıs  2025,2800000,4.0,1.0,5.0,2025-05-24,5,24,15555.555555555555,True,True
Sahibinden,165.0,3+1,Osmaniye,Kadirli,Dere,24 Mayıs  2025,3100000,3.0,1.0,4.0,2025-05-24,5,24,18787.878787878788,True,True
Sahibinden,135.0,4+1,Osmaniye,Merkez,Bilinmiyor,24 Mayıs  2025,3650000,4.0,1.0,5.0,2025-05-24,5,24,27037.037037037036,True,True
Sahibinden,155.0,3+1,Osmaniye,Kadirli,Cemalpaşa,24 Mayıs  2025,2950000,3.0,1.0,4.0,2025-05-24,5,24,19032.25806451613,True,True
Sahibinden,225.0,4.5+1,Osmaniye,Merkez,Köyler,24 Mayıs  2025,3900000,4.5,1.0,5.5,2025-05-24,5,24,17333.333333333332,True,True
Sahibinden,200.0,4+1,Osmaniye,Düziçi,Bilinmiyor,24 Mayıs  2025,3290000,4.0,1.0,5.0,2025-05-24,5,24,16450.0,True,True
Sahibinden,150.0,3+1,Osmaniye,Düziçi,Bilinmiyor,24 Mayıs  2025,2800000,3.0,1.0,4.0,2025-05-24,5,24,18666.666666666668,True,True
Sahibinden,90.0,2+1,Osmaniye,Kadirli,Cemalpaşa,23 Mayıs  2025,1875000,2.0,1.0,3.0,2025-05-23,5,23,20833.333333333332,True,True
Sahibinden,165.0,3+1,Osmaniye,Düziçi,Bilinmiyor,23 Mayıs  2025,2300000,3.0,1.0,4.0,2025-05-23,5,23,13939.39393939394,True,True
Sahibinden,85.0,2+1,Osmaniye,Düziçi,Bilinmiyor,23 Mayıs  2025,700000,2.0,1.0,3.0,2025-05-23,5,23,8235.29411764706,True,False
Sahibinden,165.0,3+1,Osmaniye,Bahçe,Bilinmiyor,24 Mayıs  2025,3900000,3.0,1.0,4.0,2025-05-24,5,24,23636.363636363636,True,True
Sahibinden,60.0,2+1,Osmaniye,Düziçi,Bilinmiyor,23 Mayıs  2025,565000,2.0,1.0,3.0,2025-05-23,5,23,9416.666666666666,True,False
Sahibinden,125.0,2+1,Osmaniye,Düziçi,Bilinmiyor,23 Mayıs  2025,1398000,2.0,1.0,3.0,2025-05-23,5,23,11184.0,True,True
